종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"089470","HDC현대EP","KOSPI",,"4055","70","1.76","3995","4060","3985","58242","234931338","129354500000","31900000"
"294870","HDC현대산업개발","KOSPI",,"23150","-100","-0.43","23250","23700","22750","53745","1237315150","1525754689500","65907330"
"009540","HD한국조선해양","KOSPI",,"324000","3500","1.09","325000","327500","321500","82970","26878830750","22930489584000","70773116"
"267250","HD현대","KOSPI",,"134200","-100","-0.07","133300","134500","130100","93904","12504089650","10600872007000","78993085"
"267270","HD현대건설기계","KOSPI",,"75900","700","0.93","75400","76300","74500","37237","2804428450","1340529785100","17661789"
"443060","HD현대마린솔루션","KOSPI",,"190300","300","0.16","190600","192300","187000","18462","3515317750","8530998663000","44829210"
"071970","HD현대마린엔진","KOSPI",,"47400","1500","3.27","47250","48000","46550","134789","6348119700","1607878863000","33921495"
"010620","HD현대미포","KOSPI",,"182500","5200","2.93","180700","183600","178900","111309","20186360350","7289442192500","39942149"
"322000","HD현대에너지솔루션","KOSPI",,"42350","-750","-1.74","42300","42900","41900","33683","1426007950","474320000000","11200000"
"042670","HD현대인프라코어","KOSPI",,"11850","260","2.24","11700","11940","11520","508728","5981920980","2282203729200","192591032"
"267260","HD현대일렉트릭","KOSPI",,"450500","-500","-0.11","453000","455500","445000","87929","39630109500","16239234317500","36047135"
"329180","HD현대중공업","KOSPI",,"396000","6500","1.67","394000","403000","391500","73885","29198983750","35154153936000","88773116"
"097230","HJ중공업","KOSPI",,"7530","80","1.07","7480","7580","7370","174843","1311461680","627055335930","83274281"
"195940","HK이노엔","KOSDAQ GLOBAL","우량기업부","42250","-400","-0.94","42350","42550","41800","46197","1946280875","1196937894750","28329891"
"014790","HL D&I","KOSPI",,"2815","90","3.30","2720","2825","2705","42390","118177745","106571961815","37858601"
"028300","HLB","KOSDAQ","중견기업부","49100","200","0.41","48700","49750","48400","156836","7698377425","6453235831500","131430465"
"003580","HLB글로벌","KOSPI",,"2595","20","0.78","2580","2625","2580","22447","58593480","130571519910","50316578"
"278650","HLB바이오스텝","KOSDAQ","중견기업부","1433","10","0.70","1423","1440","1420","62336","89180086","124678937387","87005539"
"343090","HLB사이언스","KONEX","일반기업부","1052","37","3.65","1013","1057","1013","31706","33088228","18769585172","17841811"
